SAMPLE NAME	HGNC ID	GENE NAME	PROCESS	LOG2FOLD	P-VALUE
Met_vs_Placebo_RA_user	MTRES1	mitochondrial transcription rescue factor 1	Translation	-0.247	0.003
Met_vs_Placebo_RA_user	MTRF1	mitochondrial translation release factor 1	Translation	0.109	0.519
Met_vs_Placebo_RA_user	MTRF1L	mitochondrial translational release factor 1 like	Translation	-0.011	0.961
Met_vs_Placebo_RA_user	NOA1	nitric oxide associated 1	Translation	-0.086	0.585
Met_vs_Placebo_RA_user	NSUN3	NOP2/Sun RNA methyltransferase 3	Translation	-0.01	0.950
Met_vs_Placebo_RA_user	OSGEPL1	O-sialoglycoprotein endopeptidase like 1	Translation	0.395	0.133
Met_vs_Placebo_RA_user	PARS2	prolyl-tRNA synthetase 2, mitochondrial	Translation	0.277	0.037
Met_vs_Placebo_RA_user	PDE12	phosphodiesterase 12	Translation	0.157	0.233
Met_vs_Placebo_RA_user	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4	Translation	-0.524	0.026
Met_vs_Placebo_RA_user	PNPT1	polyribonucleotide nucleotidyltransferase 1	Translation	-0.016	0.944
Met_vs_Placebo_RA_user	PPA2	pyrophosphatase (inorganic) 2	Translation	-0.336	0.012
Met_vs_Placebo_RA_user	PRORP	protein only RNase P catalytic subunit	Translation	0.003	0.988
Met_vs_Placebo_RA_user	PSTK	phosphoseryl-tRNA kinase	Translation	0.258	0.181
Met_vs_Placebo_RA_user	PTCD1	pentatricopeptide repeat domain 1	Translation	0.012	0.949
Met_vs_Placebo_RA_user	PTRH2	peptidyl-tRNA hydrolase 2	Translation	-0.337	0.002
Met_vs_Placebo_RA_user	PUS1	pseudouridine synthase 1	Translation	-0.259	0.120
Met_vs_Placebo_RA_user	PUSL1	pseudouridine synthase like 1	Translation	-0.782	0.000
Met_vs_Placebo_RA_user	QRSL1	glutaminyl-tRNA amidotransferase subunit QRSL1	Translation	-0.023	0.861
Met_vs_Placebo_RA_user	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1	Translation	-0.555	0.001
Met_vs_Placebo_RA_user	RARS2	arginyl-tRNA synthetase 2, mitochondrial	Translation	0.057	0.806
Met_vs_Placebo_RA_user	RBFA	ribosome binding factor A	Translation	0.291	0.007
Met_vs_Placebo_RA_user	REXO2	RNA exonuclease 2	Translation	-0.559	0.000
Met_vs_Placebo_RA_user	RIDA	reactive intermediate imine deaminase A homolog	Translation	0.296	0.077
Met_vs_Placebo_RA_user	RMND1	required for meiotic nuclear division 1 homolog	Translation	0.043	0.839
Met_vs_Placebo_RA_user	RPS19	ribosomal protein S19	Translation	-0.407	0.004
Met_vs_Placebo_RA_user	RPUSD3	RNA pseudouridine synthase D3	Translation	-0.011	0.963
Met_vs_Placebo_RA_user	RPUSD4	RNA pseudouridine synthase D4	Translation	-0.118	0.373
Met_vs_Placebo_RA_user	SARS2	seryl-tRNA synthetase 2, mitochondrial	Translation	-0.289	0.012
Met_vs_Placebo_RA_user	SBDS	SBDS ribosome maturation factor	Translation	0.195	0.013
Met_vs_Placebo_RA_user	SLIRP	SRA stem-loop interacting RNA binding protein	Translation	-0.239	0.151
Met_vs_Placebo_RA_user	TACO1	translational activator of cytochrome c oxidase I	Translation	0.487	0.000
Met_vs_Placebo_RA_user	TARS2	threonyl-tRNA synthetase 2, mitochondrial	Translation	-0.075	0.425
Met_vs_Placebo_RA_user	TRIT1	tRNA isopentenyltransferase 1	Translation	-0.192	0.213
Met_vs_Placebo_RA_user	TRMT10C	tRNA methyltransferase 10C, mitochondrial RNase P subunit	Translation	-0.182	0.259
Met_vs_Placebo_RA_user	TRMT11	tRNA methyltransferase 11 homolog	Translation	0.038	0.842
Met_vs_Placebo_RA_user	TRMT2B	tRNA methyltransferase 2 homolog B	Translation	-0.118	0.505
Met_vs_Placebo_RA_user	TRMT5	tRNA methyltransferase 5	Translation	-0.074	0.452
Met_vs_Placebo_RA_user	TRMT61B	tRNA methyltransferase 61B	Translation	0.294	0.019
Met_vs_Placebo_RA_user	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase	Translation	-0.182	0.441
Met_vs_Placebo_RA_user	TRNT1	tRNA nucleotidyl transferase 1	Translation	0.124	0.442
Met_vs_Placebo_RA_user	TSFM	Ts translation elongation factor, mitochondrial	Translation	-0.299	0.014
Met_vs_Placebo_RA_user	TUFM	Tu translation elongation factor, mitochondrial	Translation	-0.284	0.000
Met_vs_Placebo_RA_user	VARS2	valyl-tRNA synthetase 2, mitochondrial	Translation	-0.069	0.671
Met_vs_Placebo_RA_user	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	Translation	0.023	0.900
Met_vs_Placebo_RA_user	YARS2	tyrosyl-tRNA synthetase 2	Translation	-0.144	0.271
Met_vs_Placebo_RA_user	AASS	aminoadipate-semialdehyde synthase	Amino Acid Metabolism	0.203033	0.141158
Met_vs_Placebo_RA_user	ABAT	4-aminobutyrate aminotransferase	Amino Acid Metabolism	0.271956	0.729102
Met_vs_Placebo_RA_user	ABHD10	abhydrolase domain containing 10	Amino Acid Metabolism	-0.136203	0.0948168
Met_vs_Placebo_RA_user	ABHD11	abhydrolase domain containing 11	Amino Acid Metabolism	-0.320702	0.00109065
Met_vs_Placebo_RA_user	ABHD16A	abhydrolase domain containing 16A	Amino Acid Metabolism	-0.193275	0.0692093
Met_vs_Placebo_RA_user	ACAT1	acetyl-CoA acetyltransferase 1	Amino Acid Metabolism	-0.0574895	0.68497
Met_vs_Placebo_RA_user	ADO	2-aminoethanethiol dioxygenase	Amino Acid Metabolism	0.271012	0.0100045
Met_vs_Placebo_RA_user	ALDH18A1	aldehyde dehydrogenase 18 family member A1	Amino Acid Metabolism	-0.0428989	0.719289
Met_vs_Placebo_RA_user	ALDH4A1	aldehyde dehydrogenase 4 family member A1	Amino Acid Metabolism	-0.247591	0.502122
Met_vs_Placebo_RA_user	ALDH5A1	aldehyde dehydrogenase 5 family member A1	Amino Acid Metabolism	0.209635	0.219238
Met_vs_Placebo_RA_user	ALDH6A1	aldehyde dehydrogenase 6 family member A1	Amino Acid Metabolism	0.296756	0.0164263
Met_vs_Placebo_RA_user	AMT	aminomethyltransferase	Amino Acid Metabolism	-0.251671	0.0785307
Met_vs_Placebo_RA_user	ASS1	argininosuccinate synthase 1	Amino Acid Metabolism	-0.497499	0.0510018
Met_vs_Placebo_RA_user	AUH	AU RNA binding methylglutaconyl-CoA hydratase	Amino Acid Metabolism	-0.0953455	0.385541
Met_vs_Placebo_RA_user	BCAT1	branched chain amino acid transaminase 1	Amino Acid Metabolism	0.778778	0.000564695
Met_vs_Placebo_RA_user	BCAT2	branched chain amino acid transaminase 2	Amino Acid Metabolism	-0.194089	0.243911
Met_vs_Placebo_RA_user	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	Amino Acid Metabolism	-0.265516	0.0092153
Met_vs_Placebo_RA_user	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	Amino Acid Metabolism	0.0397203	0.782383
Met_vs_Placebo_RA_user	BCKDK	branched chain ketoacid dehydrogenase kinase	Amino Acid Metabolism	-0.133235	0.0645218
Met_vs_Placebo_RA_user	CKMT2	creatine kinase, mitochondrial 2	Amino Acid Metabolism	-0.0624171	0.632555
Met_vs_Placebo_RA_user	DBT	dihydrolipoamide branched chain transacylase E2	Amino Acid Metabolism	0.134527	0.217182
Met_vs_Placebo_RA_user	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	Amino Acid Metabolism	0.276451	0.0793887
Met_vs_Placebo_RA_user	ETHE1	ETHE1 persulfide dioxygenase	Amino Acid Metabolism	-0.343134	0.0279357
Met_vs_Placebo_RA_user	ETNPPL	ethanolamine-phosphate phospho-lyase	Amino Acid Metabolism	-0.0331931	0.916672
Met_vs_Placebo_RA_user	FAHD1	fumarylacetoacetate hydrolase domain containing 1	Amino Acid Metabolism	-0.111913	0.366636
Met_vs_Placebo_RA_user	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	Amino Acid Metabolism	-0.527628	2.405e-7
Met_vs_Placebo_RA_user	GATM	glycine amidinotransferase	Amino Acid Metabolism	0.850598	0.00395951
Met_vs_Placebo_RA_user	GCSH	glycine cleavage system protein H	Amino Acid Metabolism	-0.00779023	0.960606
Met_vs_Placebo_RA_user	GLS	glutaminase	Amino Acid Metabolism	0.293193	0.0271754
Met_vs_Placebo_RA_user	GLS2	glutaminase 2	Amino Acid Metabolism	-0.00753102	0.963445
Met_vs_Placebo_RA_user	GLUL	glutamate-ammonia ligase	Amino Acid Metabolism	0.278401	0.0942992
Met_vs_Placebo_RA_user	GOT2	glutamic-oxaloacetic transaminase 2	Amino Acid Metabolism	-0.0375024	0.54218
Met_vs_Placebo_RA_user	GPT2	glutamic--pyruvic transaminase 2	Amino Acid Metabolism	0.000534026	0.997197
Met_vs_Placebo_RA_user	GSTZ1	glutathione S-transferase zeta 1	Amino Acid Metabolism	-0.274862	0.0990357
Met_vs_Placebo_RA_user	HIBADH	3-hydroxyisobutyrate dehydrogenase	Amino Acid Metabolism	-0.0142692	0.885456
Met_vs_Placebo_RA_user	HIBCH	3-hydroxyisobutyryl-CoA hydrolase	Amino Acid Metabolism	-0.306615	0.00213061
Met_vs_Placebo_RA_user	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	Amino Acid Metabolism	-0.462703	0.00112571
Met_vs_Placebo_RA_user	IVD	isovaleryl-CoA dehydrogenase	Amino Acid Metabolism	-0.0654255	0.506771
Met_vs_Placebo_RA_user	KYAT3	kynurenine aminotransferase 3	Amino Acid Metabolism	-0.261357	0.157577
Met_vs_Placebo_RA_user	LAP3	leucine aminopeptidase 3	Amino Acid Metabolism	0.000668336	0.997197
Met_vs_Placebo_RA_user	MAOA	monoamine oxidase A	Amino Acid Metabolism	0.291962	0.283455
Met_vs_Placebo_RA_user	MAOB	monoamine oxidase B	Amino Acid Metabolism	-0.27115	0.0768316
Met_vs_Placebo_RA_user	MCCC1	methylcrotonoyl-CoA carboxylase 1	Amino Acid Metabolism	-0.0589629	0.766383
Met_vs_Placebo_RA_user	MCCC2	methylcrotonoyl-CoA carboxylase 2	Amino Acid Metabolism	0.353132	0.0401103
Met_vs_Placebo_RA_user	MCEE	methylmalonyl-CoA epimerase	Amino Acid Metabolism	-0.321119	0.0232824
Met_vs_Placebo_RA_user	MMUT	methylmalonyl-CoA mutase	Amino Acid Metabolism	0.235988	0.0102728
Met_vs_Placebo_RA_user	MPST	mercaptopyruvate sulfurtransferase	Amino Acid Metabolism	-0.430594	0.00031116
Met_vs_Placebo_RA_user	NADK2	NAD kinase 2, mitochondrial	Amino Acid Metabolism	0.305023	0.0010557
Met_vs_Placebo_RA_user	NIT1	nitrilase 1	Amino Acid Metabolism	-0.42459	0.0104458
Met_vs_Placebo_RA_user	NIT2	nitrilase family member 2	Amino Acid Metabolism	-0.0157496	0.915333
Met_vs_Placebo_RA_user	OAT	ornithine aminotransferase	Amino Acid Metabolism	-0.0605813	0.674032
Met_vs_Placebo_RA_user	OXCT1	3-oxoacid CoA-transferase 1	Amino Acid Metabolism	0.141369	0.412079
Met_vs_Placebo_RA_user	OXCT2	3-oxoacid CoA-transferase 2	Amino Acid Metabolism	-0.382252	0.400893
Met_vs_Placebo_RA_user	PCCA	propionyl-CoA carboxylase subunit alpha	Amino Acid Metabolism	-0.102813	0.572636
Met_vs_Placebo_RA_user	PDF	peptide deformylase, mitochondrial	Amino Acid Metabolism	-0.236035	0.0866795
Met_vs_Placebo_RA_user	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	Amino Acid Metabolism	-0.488321	0.0246482
Met_vs_Placebo_RA_user	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	Amino Acid Metabolism	1.01619	0.0000346035
Met_vs_Placebo_RA_user	PYCR1	pyrroline-5-carboxylate reductase 1	Amino Acid Metabolism	-0.567278	0.127709
Met_vs_Placebo_RA_user	PYCR2	pyrroline-5-carboxylate reductase 2	Amino Acid Metabolism	-0.403567	0.00610684
Met_vs_Placebo_RA_user	QDPR	quinoid dihydropteridine reductase	Amino Acid Metabolism	-0.233086	0.0449491
Met_vs_Placebo_RA_user	SQOR	sulfide quinone oxidoreductase	Amino Acid Metabolism	-0.284545	0.122468
Met_vs_Placebo_RA_user	SUGCT	succinyl-CoA:glutarate-CoA transferase	Amino Acid Metabolism	0.0627246	0.766414
Met_vs_Placebo_RA_user	SUOX	sulfite oxidase	Amino Acid Metabolism	-0.0673744	0.58594
Met_vs_Placebo_RA_user	TST	thiosulfate sulfurtransferase	Amino Acid Metabolism	-0.638905	0.00119602
Met_vs_Placebo_RA_user	AIFM1	apoptosis inducing factor mitochondria associated 1	Apoptosis	-0.133304	0.152682
Met_vs_Placebo_RA_user	AIFM2	apoptosis inducing factor mitochondria associated 2	Apoptosis	-0.172754	0.193801
Met_vs_Placebo_RA_user	ALKBH7	alkB homolog 7	Apoptosis	-0.515415	0.0000276697
Met_vs_Placebo_RA_user	APAF1	apoptotic peptidase activating factor 1	Apoptosis	0.475054	0.0293776
Met_vs_Placebo_RA_user	ARMC10	armadillo repeat containing 10	Apoptosis	-0.190529	0.109193
Met_vs_Placebo_RA_user	BAD	BCL2 associated agonist of cell death	Apoptosis	-0.601466	0.0000367669
Met_vs_Placebo_RA_user	BAK1	BCL2 antagonist/killer 1	Apoptosis	-0.19428	0.209786
Met_vs_Placebo_RA_user	BAX	BCL2 associated X, apoptosis regulator	Apoptosis	-0.449971	0.0152881
Met_vs_Placebo_RA_user	BCL2	BCL2 apoptosis regulator	Apoptosis	0.514174	0.00123409
Met_vs_Placebo_RA_user	BCL2L1	BCL2 like 1	Apoptosis	-0.0527939	0.78017
Met_vs_Placebo_RA_user	BCL2L11	BCL2 like 11	Apoptosis	0.399627	0.256205
Met_vs_Placebo_RA_user	BCL2L13	BCL2 like 13	Apoptosis	0.390999	0.0000072598
Met_vs_Placebo_RA_user	BID	BH3 interacting domain death agonist	Apoptosis	-0.187949	0.148927
Met_vs_Placebo_RA_user	BNIP1	BCL2 interacting protein 1	Apoptosis	-0.00574595	0.980373
Met_vs_Placebo_RA_user	BNIP3	BCL2 interacting protein 3	Apoptosis	-0.0732052	0.504895
Met_vs_Placebo_RA_user	BNIP3L	BCL2 interacting protein 3 like	Apoptosis	0.105572	0.369027
Met_vs_Placebo_RA_user	BOK	BCL2 family apoptosis regulator BOK	Apoptosis	-0.554183	0.0921141
Met_vs_Placebo_RA_user	CASP2	caspase 2	Apoptosis	0.41678	0.0126508
Met_vs_Placebo_RA_user	CASP3	caspase 3	Apoptosis	-0.0811963	0.803372
Met_vs_Placebo_RA_user	CASP7	caspase 7	Apoptosis	-0.0832857	0.745962
Met_vs_Placebo_RA_user	CASP9	caspase 9	Apoptosis	-0.0507951	0.847527
Met_vs_Placebo_RA_user	CLIC4	chloride intracellular channel 4	Apoptosis	0.573928	0.0000058902
Met_vs_Placebo_RA_user	CTSB	cathepsin B	Apoptosis	-0.160354	0.289895
Met_vs_Placebo_RA_user	DELE1	DAP3 binding cell death enhancer 1	Apoptosis	-0.185961	0.142618
Met_vs_Placebo_RA_user	DIABLO	diablo IAP-binding mitochondrial protein	Apoptosis	-0.372596	0.000305109
Met_vs_Placebo_RA_user	FAM162A	family with sequence similarity 162 member A	Apoptosis	-0.240228	0.0202172
Met_vs_Placebo_RA_user	GFER	growth factor, augmenter of liver regeneration	Apoptosis	-0.420763	0.00140137
Met_vs_Placebo_RA_user	GHITM	growth hormone inducible transmembrane protein	Apoptosis	-0.0169691	0.860284
Met_vs_Placebo_RA_user	HTRA2	HtrA serine peptidase 2	Apoptosis	-0.216022	0.0939439
Met_vs_Placebo_RA_user	LETMD1	LETM1 domain containing 1	Apoptosis	0.100059	0.449241
Met_vs_Placebo_RA_user	MAPK1	mitogen-activated protein kinase 1	Apoptosis	0.720366	0.000657378
Met_vs_Placebo_RA_user	MAPK3	mitogen-activated protein kinase 3	Apoptosis	0.0492551	0.713231
Met_vs_Placebo_RA_user	MAPK8	mitogen-activated protein kinase 8 	Apoptosis	0.73794	0.0000409136
