SAMPLE NAME	HGNC ID	GENE NAME	PROCESS	LOG2FOLD	P-VALUE
AF_vs_Sham_RA_RNA_adj_user	LARS2	leucyl-tRNA synthetase 2, mitochondrial	Translation	-0.153	0.603
AF_vs_Sham_RA_RNA_adj_user	LRPPRC	leucine rich pentatricopeptide repeat containing	Translation	0.06	0.798
AF_vs_Sham_RA_RNA_adj_user	MALSU1	mitochondrial assembly of ribosomal large subunit 1	Translation	0.156	0.400
AF_vs_Sham_RA_RNA_adj_user	MARS2	methionyl-tRNA synthetase 2, mitochondrial	Translation	-0.003	0.993
AF_vs_Sham_RA_RNA_adj_user	METTL17	methyltransferase like 17	Translation	0.035	0.917
AF_vs_Sham_RA_RNA_adj_user	MPV17L2	MPV17 mitochondrial inner membrane protein like 2	Translation	0.084	0.742
AF_vs_Sham_RA_RNA_adj_user	MRM1	mitochondrial rRNA methyltransferase 1	Translation	0.483	0.011
AF_vs_Sham_RA_RNA_adj_user	MRM2	mitochondrial rRNA methyltransferase 2	Translation	0.103	0.509
AF_vs_Sham_RA_RNA_adj_user	MRM3	mitochondrial rRNA methyltransferase 3	Translation	-0.045	0.819
AF_vs_Sham_RA_RNA_adj_user	MRPL11	mitochondrial ribosomal protein L11	Translation	0.334	0.021
AF_vs_Sham_RA_RNA_adj_user	MRPL12	mitochondrial ribosomal protein L12	Translation	0.405	0.004
AF_vs_Sham_RA_RNA_adj_user	MRPL13	mitochondrial ribosomal protein L13	Translation	0.327	0.126
AF_vs_Sham_RA_RNA_adj_user	MRPL14	mitochondrial ribosomal protein L14	Translation	0.559	0.002
AF_vs_Sham_RA_RNA_adj_user	MRPL15	mitochondrial ribosomal protein L15	Translation	-0.108	0.575
AF_vs_Sham_RA_RNA_adj_user	MRPL16	mitochondrial ribosomal protein L16	Translation	0.529	0.002
AF_vs_Sham_RA_RNA_adj_user	MRPL17	mitochondrial ribosomal protein L17	Translation	0.101	0.549
AF_vs_Sham_RA_RNA_adj_user	MRPL18	mitochondrial ribosomal protein L18	Translation	0.192	0.240
AF_vs_Sham_RA_RNA_adj_user	MRPL19	mitochondrial ribosomal protein L19	Translation	0.284	0.031
AF_vs_Sham_RA_RNA_adj_user	MRPL2	mitochondrial ribosomal protein L2	Translation	0.508	0.000
AF_vs_Sham_RA_RNA_adj_user	MRPL21	mitochondrial ribosomal protein L21	Translation	0.03	0.911
AF_vs_Sham_RA_RNA_adj_user	MRPL22	mitochondrial ribosomal protein L22	Translation	0.4	0.067
AF_vs_Sham_RA_RNA_adj_user	MRPL24	mitochondrial ribosomal protein L24	Translation	0.224	0.059
AF_vs_Sham_RA_RNA_adj_user	MRPL27	mitochondrial ribosomal protein L27	Translation	0.225	0.340
AF_vs_Sham_RA_RNA_adj_user	MRPL28	mitochondrial ribosomal protein L28	Translation	0.27	0.087
AF_vs_Sham_RA_RNA_adj_user	MRPL3	mitochondrial ribosomal protein L3	Translation	0.024	0.876
AF_vs_Sham_RA_RNA_adj_user	MRPL30	mitochondrial ribosomal protein L30	Translation	0.419	0.003
AF_vs_Sham_RA_RNA_adj_user	MRPL34	mitochondrial ribosomal protein L34	Translation	0.429	0.014
AF_vs_Sham_RA_RNA_adj_user	MRPL35	mitochondrial ribosomal protein L35	Translation	0.183	0.304
AF_vs_Sham_RA_RNA_adj_user	MRPL36	mitochondrial ribosomal protein L36	Translation	0.424	0.012
AF_vs_Sham_RA_RNA_adj_user	MRPL37	mitochondrial ribosomal protein L37	Translation	0.667	0.000
AF_vs_Sham_RA_RNA_adj_user	MRPL39	mitochondrial ribosomal protein L39	Translation	-0.135	0.614
AF_vs_Sham_RA_RNA_adj_user	MRPL4	mitochondrial ribosomal protein L4	Translation	0.457	0.006
AF_vs_Sham_RA_RNA_adj_user	MRPL40	mitochondrial ribosomal protein L40	Translation	0.363	0.055
AF_vs_Sham_RA_RNA_adj_user	MRPL41	mitochondrial ribosomal protein L41	Translation	0.481	0.004
AF_vs_Sham_RA_RNA_adj_user	MRPL42	mitochondrial ribosomal protein L42	Translation	0.371	0.379
AF_vs_Sham_RA_RNA_adj_user	MRPL43	mitochondrial ribosomal protein L43	Translation	0.447	0.003
AF_vs_Sham_RA_RNA_adj_user	MRPL45	mitochondrial ribosomal protein L45	Translation	0.084	0.426
AF_vs_Sham_RA_RNA_adj_user	MRPL46	mitochondrial ribosomal protein L46	Translation	0.06	0.721
AF_vs_Sham_RA_RNA_adj_user	MRPL47	mitochondrial ribosomal protein L47	Translation	0.31	0.233
AF_vs_Sham_RA_RNA_adj_user	MRPL48	mitochondrial ribosomal protein L48	Translation	-0.068	0.768
AF_vs_Sham_RA_RNA_adj_user	MRPL49	mitochondrial ribosomal protein L49	Translation	-0.022	0.907
AF_vs_Sham_RA_RNA_adj_user	MRPL50	mitochondrial ribosomal protein L50	Translation	0.131	0.366
AF_vs_Sham_RA_RNA_adj_user	MRPL51	mitochondrial ribosomal protein L51	Translation	0.326	0.038
AF_vs_Sham_RA_RNA_adj_user	MRPL52	mitochondrial ribosomal protein L52	Translation	0.167	0.335
AF_vs_Sham_RA_RNA_adj_user	MRPL53	mitochondrial ribosomal protein L53	Translation	0.181	0.384
AF_vs_Sham_RA_RNA_adj_user	MRPL57	mitochondrial ribosomal protein L57	Translation	0.244	0.274
AF_vs_Sham_RA_RNA_adj_user	MRPL58	mitochondrial ribosomal protein L58	Translation	0.148	0.343
AF_vs_Sham_RA_RNA_adj_user	MRPL9	mitochondrial ribosomal protein L9	Translation	0.139	0.367
AF_vs_Sham_RA_RNA_adj_user	MRPS10	mitochondrial ribosomal protein S10	Translation	0.359	0.076
AF_vs_Sham_RA_RNA_adj_user	MRPS11	mitochondrial ribosomal protein S11	Translation	0.391	0.055
AF_vs_Sham_RA_RNA_adj_user	MRPS12	mitochondrial ribosomal protein S12	Translation	0.334	0.056
AF_vs_Sham_RA_RNA_adj_user	MRPS14	mitochondrial ribosomal protein S14	Translation	0.444	0.005
AF_vs_Sham_RA_RNA_adj_user	MRPS15	mitochondrial ribosomal protein S15	Translation	0.388	0.035
AF_vs_Sham_RA_RNA_adj_user	MRPS16	mitochondrial ribosomal protein S16	Translation	0.056	0.764
AF_vs_Sham_RA_RNA_adj_user	MRPS18A	mitochondrial ribosomal protein S18A	Translation	0.081	0.678
AF_vs_Sham_RA_RNA_adj_user	MRPS18B	mitochondrial ribosomal protein S18B	Translation	0.109	0.478
AF_vs_Sham_RA_RNA_adj_user	MRPS18C	mitochondrial ribosomal protein S18C	Translation	-0.09	0.788
AF_vs_Sham_RA_RNA_adj_user	MRPS2	mitochondrial ribosomal protein S2	Translation	0.211	0.082
AF_vs_Sham_RA_RNA_adj_user	MRPS22	mitochondrial ribosomal protein S22	Translation	-0.075	0.728
AF_vs_Sham_RA_RNA_adj_user	MRPS23	mitochondrial ribosomal protein S23	Translation	0.32	0.034
AF_vs_Sham_RA_RNA_adj_user	MRPS24	mitochondrial ribosomal protein S24	Translation	0.321	0.006
AF_vs_Sham_RA_RNA_adj_user	MRPS25	mitochondrial ribosomal protein S25	Translation	0.429	0.051
AF_vs_Sham_RA_RNA_adj_user	MRPS26	mitochondrial ribosomal protein S26	Translation	0.442	0.003
AF_vs_Sham_RA_RNA_adj_user	MRPS27	mitochondrial ribosomal protein S27	Translation	0.418	0.048
AF_vs_Sham_RA_RNA_adj_user	MRPS28	mitochondrial ribosomal protein S28	Translation	0.268	0.287
AF_vs_Sham_RA_RNA_adj_user	MRPS30	mitochondrial ribosomal protein S30	Translation	0.222	0.170
AF_vs_Sham_RA_RNA_adj_user	MRPS31	mitochondrial ribosomal protein S31	Translation	0.064	0.761
AF_vs_Sham_RA_RNA_adj_user	MRPS33	mitochondrial ribosomal protein S33	Translation	0.016	0.887
AF_vs_Sham_RA_RNA_adj_user	MRPS34	mitochondrial ribosomal protein S34	Translation	0.333	0.043
AF_vs_Sham_RA_RNA_adj_user	MRPS35	mitochondrial ribosomal protein S35	Translation	0.14	0.331
AF_vs_Sham_RA_RNA_adj_user	MRPS36	mitochondrial ribosomal protein S36	Translation	0.204	0.157
AF_vs_Sham_RA_RNA_adj_user	MRPS5	mitochondrial ribosomal protein S5	Translation	0.155	0.357
AF_vs_Sham_RA_RNA_adj_user	MRPS6	mitochondrial ribosomal protein S6	Translation	0.225	0.312
AF_vs_Sham_RA_RNA_adj_user	MRPS7	mitochondrial ribosomal protein S7	Translation	0.194	0.234
AF_vs_Sham_RA_RNA_adj_user	MRPS9	mitochondrial ribosomal protein S9	Translation	0.006	0.971
AF_vs_Sham_RA_RNA_adj_user	MRRF	mitochondrial ribosome recycling factor	Translation	0.063	0.826
AF_vs_Sham_RA_RNA_adj_user	MTERF3	mitochondrial transcription termination factor 3	Translation	-0.179	0.607
AF_vs_Sham_RA_RNA_adj_user	MTERF4	mitochondrial transcription termination factor 4	Translation	-0.043	0.860
AF_vs_Sham_RA_RNA_adj_user	MTFMT	mitochondrial methionyl-tRNA formyltransferase	Translation	0.063	0.905
AF_vs_Sham_RA_RNA_adj_user	MTG1	mitochondrial ribosome associated GTPase 1	Translation	0.152	0.389
AF_vs_Sham_RA_RNA_adj_user	MTG2	mitochondrial ribosome associated GTPase 2	Translation	0.164	0.432
AF_vs_Sham_RA_RNA_adj_user	MTIF2	mitochondrial translational initiation factor 2	Translation	0.258	0.124
AF_vs_Sham_RA_RNA_adj_user	MTIF3	mitochondrial translational initiation factor 3	Translation	0.163	0.309
AF_vs_Sham_RA_RNA_adj_user	MTO1	mitochondrial tRNA translation optimization 1	Translation	-0.046	0.785
AF_vs_Sham_RA_RNA_adj_user	MTPAP	mitochondrial poly(A) polymerase	Translation	0.058	0.816
AF_vs_Sham_RA_RNA_adj_user	MTRES1	mitochondrial transcription rescue factor 1	Translation	0.307	0.015
AF_vs_Sham_RA_RNA_adj_user	MTRF1	mitochondrial translation release factor 1	Translation	0.383	0.138
AF_vs_Sham_RA_RNA_adj_user	MTRF1L	mitochondrial translational release factor 1 like	Translation	0.311	0.273
AF_vs_Sham_RA_RNA_adj_user	NOA1	nitric oxide associated 1	Translation	0.387	0.091
AF_vs_Sham_RA_RNA_adj_user	NSUN3	NOP2/Sun RNA methyltransferase 3	Translation	0.067	0.780
AF_vs_Sham_RA_RNA_adj_user	OSGEPL1	O-sialoglycoprotein endopeptidase like 1	Translation	-0.367	0.374
AF_vs_Sham_RA_RNA_adj_user	PARS2	prolyl-tRNA synthetase 2, mitochondrial	Translation	0.153	0.514
AF_vs_Sham_RA_RNA_adj_user	PDE12	phosphodiesterase 12	Translation	0.181	0.401
AF_vs_Sham_RA_RNA_adj_user	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4	Translation	-0.084	0.844
AF_vs_Sham_RA_RNA_adj_user	PNPT1	polyribonucleotide nucleotidyltransferase 1	Translation	0.024	0.948
AF_vs_Sham_RA_RNA_adj_user	PPA2	pyrophosphatase (inorganic) 2	Translation	0.175	0.417
AF_vs_Sham_RA_RNA_adj_user	PRORP	protein only RNase P catalytic subunit	Translation	0.533	0.044
AF_vs_Sham_RA_RNA_adj_user	PSTK	phosphoseryl-tRNA kinase	Translation	0.024	0.954
AF_vs_Sham_RA_RNA_adj_user	PTCD1	pentatricopeptide repeat domain 1	Translation	0.058	0.838
AF_vs_Sham_RA_RNA_adj_user	PTRH2	peptidyl-tRNA hydrolase 2	Translation	0.1	0.583
AF_vs_Sham_RA_RNA_adj_user	PUS1	pseudouridine synthase 1	Translation	0.097	0.747
AF_vs_Sham_RA_RNA_adj_user	PUSL1	pseudouridine synthase like 1	Translation	0.321	0.275
AF_vs_Sham_RA_RNA_adj_user	QRSL1	glutaminyl-tRNA amidotransferase subunit QRSL1	Translation	0.061	0.757
AF_vs_Sham_RA_RNA_adj_user	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1	Translation	0.015	0.963
AF_vs_Sham_RA_RNA_adj_user	RARS2	arginyl-tRNA synthetase 2, mitochondrial	Translation	-0.104	0.774
AF_vs_Sham_RA_RNA_adj_user	RBFA	ribosome binding factor A	Translation	-0.015	0.949
AF_vs_Sham_RA_RNA_adj_user	REXO2	RNA exonuclease 2	Translation	0.327	0.118
AF_vs_Sham_RA_RNA_adj_user	RIDA	reactive intermediate imine deaminase A homolog	Translation	-0.199	0.469
AF_vs_Sham_RA_RNA_adj_user	RMND1	required for meiotic nuclear division 1 homolog	Translation	-0.121	0.697
AF_vs_Sham_RA_RNA_adj_user	RPS19	ribosomal protein S19	Translation	0.001	0.997
AF_vs_Sham_RA_RNA_adj_user	RPUSD3	RNA pseudouridine synthase D3	Translation	-0.182	0.539
AF_vs_Sham_RA_RNA_adj_user	RPUSD4	RNA pseudouridine synthase D4	Translation	0.156	0.452
AF_vs_Sham_RA_RNA_adj_user	SARS2	seryl-tRNA synthetase 2, mitochondrial	Translation	0.204	0.262
AF_vs_Sham_RA_RNA_adj_user	SBDS	SBDS ribosome maturation factor	Translation	0.053	0.716
AF_vs_Sham_RA_RNA_adj_user	SLIRP	SRA stem-loop interacting RNA binding protein	Translation	0.358	0.170
AF_vs_Sham_RA_RNA_adj_user	TACO1	translational activator of cytochrome c oxidase I	Translation	0.169	0.402
AF_vs_Sham_RA_RNA_adj_user	TARS2	threonyl-tRNA synthetase 2, mitochondrial	Translation	0.423	0.002
AF_vs_Sham_RA_RNA_adj_user	TRIT1	tRNA isopentenyltransferase 1	Translation	0.051	0.860
AF_vs_Sham_RA_RNA_adj_user	TRMT10C	tRNA methyltransferase 10C, mitochondrial RNase P subunit	Translation	-0.18	0.459
AF_vs_Sham_RA_RNA_adj_user	TRMT11	tRNA methyltransferase 11 homolog	Translation	0.403	0.117
AF_vs_Sham_RA_RNA_adj_user	TRMT2B	tRNA methyltransferase 2 homolog B	Translation	0.529	0.044
AF_vs_Sham_RA_RNA_adj_user	TRMT5	tRNA methyltransferase 5	Translation	0.149	0.311
AF_vs_Sham_RA_RNA_adj_user	TRMT61B	tRNA methyltransferase 61B	Translation	0.211	0.321
AF_vs_Sham_RA_RNA_adj_user	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase	Translation	-0.035	0.934
AF_vs_Sham_RA_RNA_adj_user	TRNT1	tRNA nucleotidyl transferase 1	Translation	-0.298	0.180
AF_vs_Sham_RA_RNA_adj_user	TSFM	Ts translation elongation factor, mitochondrial	Translation	0.257	0.175
AF_vs_Sham_RA_RNA_adj_user	TUFM	Tu translation elongation factor, mitochondrial	Translation	0.238	0.024
AF_vs_Sham_RA_RNA_adj_user	VARS2	valyl-tRNA synthetase 2, mitochondrial	Translation	-0.143	0.541
AF_vs_Sham_RA_RNA_adj_user	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	Translation	0.076	0.789
AF_vs_Sham_RA_RNA_adj_user	YARS2	tyrosyl-tRNA synthetase 2	Translation	0.391	0.046
AF_vs_Sham_RA_RNA_adj_user	AASS	aminoadipate-semialdehyde synthase	Amino Acid Metabolism	-0.242061	0.25406
AF_vs_Sham_RA_RNA_adj_user	ABHD10	abhydrolase domain containing 10	Amino Acid Metabolism	0.152007	0.232624
AF_vs_Sham_RA_RNA_adj_user	ABHD11	abhydrolase domain containing 11	Amino Acid Metabolism	0.115303	0.472615
AF_vs_Sham_RA_RNA_adj_user	ABHD16A	abhydrolase domain containing 16A	Amino Acid Metabolism	0.0234342	0.908412
AF_vs_Sham_RA_RNA_adj_user	ACAT1	acetyl-CoA acetyltransferase 1	Amino Acid Metabolism	-0.0575979	0.807252
AF_vs_Sham_RA_RNA_adj_user	ADO	2-aminoethanethiol dioxygenase	Amino Acid Metabolism	-0.162231	0.336501
AF_vs_Sham_RA_RNA_adj_user	ALDH18A1	aldehyde dehydrogenase 18 family member A1	Amino Acid Metabolism	0.194753	0.235351
AF_vs_Sham_RA_RNA_adj_user	ALDH4A1	aldehyde dehydrogenase 4 family member A1	Amino Acid Metabolism	0.293416	0.626933
AF_vs_Sham_RA_RNA_adj_user	ALDH5A1	aldehyde dehydrogenase 5 family member A1	Amino Acid Metabolism	0.112523	0.717017
AF_vs_Sham_RA_RNA_adj_user	ALDH6A1	aldehyde dehydrogenase 6 family member A1	Amino Acid Metabolism	0.091838	0.68298
AF_vs_Sham_RA_RNA_adj_user	AMT	aminomethyltransferase	Amino Acid Metabolism	-0.195331	0.381156
AF_vs_Sham_RA_RNA_adj_user	ASS1	argininosuccinate synthase 1	Amino Acid Metabolism	0.113731	0.808499
AF_vs_Sham_RA_RNA_adj_user	AUH	AU RNA binding methylglutaconyl-CoA hydratase	Amino Acid Metabolism	0.327181	0.0410737
AF_vs_Sham_RA_RNA_adj_user	BCAT1	branched chain amino acid transaminase 1	Amino Acid Metabolism	0.971175	0.00446257
AF_vs_Sham_RA_RNA_adj_user	BCAT2	branched chain amino acid transaminase 2	Amino Acid Metabolism	0.0141352	0.967417
AF_vs_Sham_RA_RNA_adj_user	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	Amino Acid Metabolism	0.166139	0.305099
AF_vs_Sham_RA_RNA_adj_user	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	Amino Acid Metabolism	0.0470948	0.84328
AF_vs_Sham_RA_RNA_adj_user	BCKDK	branched chain ketoacid dehydrogenase kinase	Amino Acid Metabolism	0.0317566	0.817753
AF_vs_Sham_RA_RNA_adj_user	CKMT2	creatine kinase, mitochondrial 2	Amino Acid Metabolism	0.85183	0.0000062147
AF_vs_Sham_RA_RNA_adj_user	DBT	dihydrolipoamide branched chain transacylase E2	Amino Acid Metabolism	-0.188369	0.249431
AF_vs_Sham_RA_RNA_adj_user	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	Amino Acid Metabolism	0.0599839	0.850402
AF_vs_Sham_RA_RNA_adj_user	ETHE1	ETHE1 persulfide dioxygenase	Amino Acid Metabolism	0.486524	0.0487417
AF_vs_Sham_RA_RNA_adj_user	ETNPPL	ethanolamine-phosphate phospho-lyase	Amino Acid Metabolism	0.686125	0.104319
AF_vs_Sham_RA_RNA_adj_user	FAHD1	fumarylacetoacetate hydrolase domain containing 1	Amino Acid Metabolism	0.178202	0.342389
AF_vs_Sham_RA_RNA_adj_user	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	Amino Acid Metabolism	0.372236	0.00459995
AF_vs_Sham_RA_RNA_adj_user	GATM	glycine amidinotransferase	Amino Acid Metabolism	-0.82684	0.0529975
AF_vs_Sham_RA_RNA_adj_user	GCSH	glycine cleavage system protein H	Amino Acid Metabolism	0.770549	0.000176396
AF_vs_Sham_RA_RNA_adj_user	GLS	glutaminase	Amino Acid Metabolism	-0.339583	0.0941074
AF_vs_Sham_RA_RNA_adj_user	GLS2	glutaminase 2	Amino Acid Metabolism	0.340567	0.0850725
AF_vs_Sham_RA_RNA_adj_user	GLUL	glutamate-ammonia ligase	Amino Acid Metabolism	-0.137802	0.635789
AF_vs_Sham_RA_RNA_adj_user	GOT2	glutamic-oxaloacetic transaminase 2	Amino Acid Metabolism	0.220215	0.00867947
AF_vs_Sham_RA_RNA_adj_user	GPT2	glutamic--pyruvic transaminase 2	Amino Acid Metabolism	0.0963412	0.586029
AF_vs_Sham_RA_RNA_adj_user	GSTZ1	glutathione S-transferase zeta 1	Amino Acid Metabolism	-0.0323742	0.917421
AF_vs_Sham_RA_RNA_adj_user	HIBADH	3-hydroxyisobutyrate dehydrogenase	Amino Acid Metabolism	0.120872	0.341564
AF_vs_Sham_RA_RNA_adj_user	HIBCH	3-hydroxyisobutyryl-CoA hydrolase	Amino Acid Metabolism	0.198729	0.197982
AF_vs_Sham_RA_RNA_adj_user	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	Amino Acid Metabolism	-0.017975	0.948126
AF_vs_Sham_RA_RNA_adj_user	IVD	isovaleryl-CoA dehydrogenase	Amino Acid Metabolism	-0.101275	0.501415
AF_vs_Sham_RA_RNA_adj_user	KYAT3	kynurenine aminotransferase 3	Amino Acid Metabolism	0.146053	0.646575
AF_vs_Sham_RA_RNA_adj_user	LAP3	leucine aminopeptidase 3	Amino Acid Metabolism	-0.197651	0.331463
AF_vs_Sham_RA_RNA_adj_user	MAOA	monoamine oxidase A	Amino Acid Metabolism	-0.378476	0.350339
AF_vs_Sham_RA_RNA_adj_user	MAOB	monoamine oxidase B	Amino Acid Metabolism	-0.411686	0.0689297
AF_vs_Sham_RA_RNA_adj_user	MCCC1	methylcrotonoyl-CoA carboxylase 1	Amino Acid Metabolism	0.141972	0.636786
AF_vs_Sham_RA_RNA_adj_user	MCCC2	methylcrotonoyl-CoA carboxylase 2	Amino Acid Metabolism	-0.187655	0.520584
AF_vs_Sham_RA_RNA_adj_user	MCEE	methylmalonyl-CoA epimerase	Amino Acid Metabolism	0.521169	0.0190302
AF_vs_Sham_RA_RNA_adj_user	MMUT	methylmalonyl-CoA mutase	Amino Acid Metabolism	-0.0772075	0.636235
AF_vs_Sham_RA_RNA_adj_user	MPST	mercaptopyruvate sulfurtransferase	Amino Acid Metabolism	0.202633	0.263892
AF_vs_Sham_RA_RNA_adj_user	NADK2	NAD kinase 2, mitochondrial	Amino Acid Metabolism	0.0554906	0.750811
AF_vs_Sham_RA_RNA_adj_user	NIT1	nitrilase 1	Amino Acid Metabolism	0.569584	0.0300683
AF_vs_Sham_RA_RNA_adj_user	NIT2	nitrilase family member 2	Amino Acid Metabolism	0.150889	0.437655
AF_vs_Sham_RA_RNA_adj_user	OAT	ornithine aminotransferase	Amino Acid Metabolism	-0.326339	0.0817556
AF_vs_Sham_RA_RNA_adj_user	OXCT1	3-oxoacid CoA-transferase 1	Amino Acid Metabolism	0.162547	0.555714
AF_vs_Sham_RA_RNA_adj_user	OXCT2	3-oxoacid CoA-transferase 2	Amino Acid Metabolism	-0.0832007	0.915218
AF_vs_Sham_RA_RNA_adj_user	PCCA	propionyl-CoA carboxylase subunit alpha	Amino Acid Metabolism	0.185781	0.509993
AF_vs_Sham_RA_RNA_adj_user	PDF	peptide deformylase, mitochondrial	Amino Acid Metabolism	0.462917	0.0332344
AF_vs_Sham_RA_RNA_adj_user	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	Amino Acid Metabolism	-0.345526	0.25511
AF_vs_Sham_RA_RNA_adj_user	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	Amino Acid Metabolism	-0.232027	0.558863
AF_vs_Sham_RA_RNA_adj_user	PYCR1	pyrroline-5-carboxylate reductase 1	Amino Acid Metabolism	0.152188	0.822442
AF_vs_Sham_RA_RNA_adj_user	PYCR2	pyrroline-5-carboxylate reductase 2	Amino Acid Metabolism	0.640054	0.00568651
AF_vs_Sham_RA_RNA_adj_user	QDPR	quinoid dihydropteridine reductase	Amino Acid Metabolism	-0.00252201	0.991509
AF_vs_Sham_RA_RNA_adj_user	SQOR	sulfide quinone oxidoreductase	Amino Acid Metabolism	0.10832	0.745318
AF_vs_Sham_RA_RNA_adj_user	SUGCT	succinyl-CoA:glutarate-CoA transferase	Amino Acid Metabolism	-0.203609	0.478211
AF_vs_Sham_RA_RNA_adj_user	SUOX	sulfite oxidase	Amino Acid Metabolism	-0.167535	0.336166
AF_vs_Sham_RA_RNA_adj_user	TST	thiosulfate sulfurtransferase	Amino Acid Metabolism	-0.0267166	0.942606
AF_vs_Sham_RA_RNA_adj_user	AIFM1	apoptosis inducing factor mitochondria associated 1	Apoptosis	0.289378	0.0358537
AF_vs_Sham_RA_RNA_adj_user	AIFM2	apoptosis inducing factor mitochondria associated 2	Apoptosis	-0.0323531	0.896864
AF_vs_Sham_RA_RNA_adj_user	ALKBH7	alkB homolog 7	Apoptosis	0.405993	0.0197486
AF_vs_Sham_RA_RNA_adj_user	APAF1	apoptotic peptidase activating factor 1	Apoptosis	-0.208987	0.585821
AF_vs_Sham_RA_RNA_adj_user	ARMC10	armadillo repeat containing 10	Apoptosis	-0.0843693	0.684177
AF_vs_Sham_RA_RNA_adj_user	BAD	BCL2 associated agonist of cell death	Apoptosis	0.880724	0.0000937633
AF_vs_Sham_RA_RNA_adj_user	BAK1	BCL2 antagonist/killer 1	Apoptosis	0.0225124	0.940457
AF_vs_Sham_RA_RNA_adj_user	BAX	BCL2 associated X, apoptosis regulator	Apoptosis	-0.0337629	0.926198
AF_vs_Sham_RA_RNA_adj_user	BCL2	BCL2 apoptosis regulator	Apoptosis	-0.430725	0.0714571
AF_vs_Sham_RA_RNA_adj_user	BCL2L1	BCL2 like 1	Apoptosis	-0.327389	0.181415
