;Loading1;Loading2;Loading3;Loading4;Loading5;ids;type;label
GNL3L.rna_b;-0.769753916081796;0.301478748649662;0.201549202521609;0.122396394895066;-0.126546903167067;GNL3L;rna_b;GNL3L
MAGED2.rna_b;0.549399450381023;0.00397575278057669;0.260219016542699;0.137341277195024;0.406279468557014;MAGED2;rna_b;MAGED2
HINT2.rna_b;0.709689691776616;-0.437711134126052;-0.0648119848200683;0.0737938731376411;-0.138821868506199;HINT2;rna_b;HINT2
FAM217A.rna_b;0.292590046760527;-0.265530808482416;0.331779176028346;0.340098495207501;-0.208117706131417;FAM217A;rna_b;FAM217A
ZBED6.rna_b;-0.794262584515431;0.277389177360539;-0.184251028182599;-0.0708547142838211;-0.0549391620541184;ZBED6;rna_b;ZBED6
UBA2.rna_b;-0.547479502417016;0.634084087655373;-0.108661758524168;-0.156023397477805;0.0432889707263681;UBA2;rna_b;UBA2
WASF3.rna_b;-0.726757367586584;0.287656129632877;-0.228988280313902;-0.111171462392545;0.127106870628737;WASF3;rna_b;WASF3
AIMP2.rna_b;0.665932834304787;-0.0985672320454235;0.281041009616172;0.0699937883245521;0.0223093651477829;AIMP2;rna_b;AIMP2
TRMT5.rna_b;-0.109761093093918;-0.37061030919868;-0.0575095511470661;0.143190886461997;-0.000396733590163428;TRMT5;rna_b;TRMT5
CIAPIN1.rna_b;0.646673696631076;-0.396125104677716;0.17649050469282;0.161139638213947;0.00299695143209327;CIAPIN1;rna_b;CIAPIN1
ELOC.rna_b;0.388031827457643;-0.544956779881126;-0.0888067882526494;0.197894613636123;-0.194896574437498;ELOC;rna_b;ELOC
ADGRA1.rna_b;0.161208139386299;-0.34352209403784;0.245396568967629;0.0309594715098773;0.0667249326235834;ADGRA1;rna_b;ADGRA1
NAP1L1.rna_b;0.539261103389299;0.151715575920624;-0.333824995863271;-0.179865539114511;-0.216175020830388;NAP1L1;rna_b;NAP1L1
MAP7D2.rna_b;0.263669834537448;-0.141136891538791;0.0301224163419672;-0.22827266574643;-0.0452919727688349;MAP7D2;rna_b;MAP7D2
METRNL.rna_b;0.561584602431501;-0.35070661338465;-0.0395017373697862;-0.107899236952875;0.0702687735312152;METRNL;rna_b;METRNL
CPEB3.rna_b;-0.835685363149389;-0.147811465737885;0.269559144691721;0.0144245644427442;-0.10964042728715;CPEB3;rna_b;CPEB3
EXOC2.rna_b;0.0519346510777099;0.0305335204621468;0.18133148749056;-0.0838356368033078;0.239326894240417;EXOC2;rna_b;EXOC2
PRXL2C.rna_b;-0.408543841408041;-0.0359497443761717;-0.07653383935456;0.0313457600182954;-0.0162299766642332;PRXL2C;rna_b;PRXL2C
ACBD3.rna_b;-0.382760580782043;0.0983468567504271;0.22140333074056;0.267900451443279;0.123024889770953;ACBD3;rna_b;ACBD3
AGA.rna_b;0.0307650000033914;0.0139432620767337;-0.42094967167987;-0.382857141937962;-0.0562192957425761;AGA;rna_b;AGA
DUSP13B.rna_b;0.201424893240405;-0.42163190165207;0.0859001373949063;0.281802947602584;-0.155305675417197;DUSP13B;rna_b;DUSP13B
MAP3K8.rna_b;0.0366784070212035;0.147197732597881;-0.566429442338645;-0.380319080427972;0.111747494158882;MAP3K8;rna_b;MAP3K8
PBLD.rna_b;0.512845436073591;-0.410413766148117;-0.194099889577611;0.0608109743725516;0.0323122378606455;PBLD;rna_b;PBLD
GOT1.rna_b;0.321988120314057;-0.499845065419238;0.345623908573494;-0.242562277471249;-0.247541668397456;GOT1;rna_b;GOT1
SLC20A2.rna_b;-0.59720429028663;0.0605659759853459;0.341039714098695;0.00515889064971974;-0.065253681373431;SLC20A2;rna_b;SLC20A2
ENSECAG00000000097.rna_b;0.299949464580341;-0.244018353709188;-0.313666397669457;0.0524058127342872;0.277746197823655;ENSECAG00000000097;rna_b;ENSECAG00000000097
NDRG4.rna_b;-0.332712475941571;-0.504137068411046;0.163372571316624;-0.28189575853919;-0.341339941544266;NDRG4;rna_b;NDRG4
PAOX.rna_b;-0.183610778120363;-0.127057292372128;-0.310105782979547;0.125109281023912;0.0425654084439829;PAOX;rna_b;PAOX
EIF5B.rna_b;0.711887298346857;-0.352181557921328;0.0232478180396758;-0.0686589264810016;0.00731821144990486;EIF5B;rna_b;EIF5B
ANKRD39.rna_b;0.790261080493792;-0.00168986136297913;0.224134898226102;0.0719242243832596;0.139183811925104;ANKRD39;rna_b;ANKRD39
ZNF74.rna_b;-0.262537874955802;-0.293231874195348;0.0517735288685766;0.239917690736697;-0.185484056936147;ZNF74;rna_b;ZNF74
ENSECAG00000000105.rna_b;-0.662914863781269;0.440872457764951;0.118948839005047;0.0286665257849642;0.0668520596866274;ENSECAG00000000105;rna_b;ENSECAG00000000105
TXNDC5.rna_b;0.265848519173089;-0.135522324544798;-0.216487478000775;0.196400990092958;0.409170700943405;TXNDC5;rna_b;TXNDC5
WRN.rna_b;-0.775783889716382;-0.0771120288663019;0.193612709179068;0.0589609191456717;0.0797324120301834;WRN;rna_b;WRN
ACOT11.rna_b;-0.758938734167457;-0.000750684987698508;0.339996847869478;-0.217514544961673;0.00754056688400325;ACOT11;rna_b;ACOT11
SUPT20H.rna_b;-0.467554480370877;0.0242133097138732;-0.0925565627829124;0.0403642917015454;-0.357941926296855;SUPT20H;rna_b;SUPT20H
ZNF483.rna_b;-0.714014642295575;0.121068551184836;-0.307126552347847;0.189602153945873;0.0245280809629495;ZNF483;rna_b;ZNF483
FAM221B.rna_b;0.0273680090068273;-0.239414523936819;0.0293694400110839;0.0651431699269163;-0.0101434445488175;FAM221B;rna_b;FAM221B
GDA.rna_b;0.0553925105080345;0.345964453102031;-0.231303865789629;-0.316154075119159;0.413657936825287;GDA;rna_b;GDA
COPG1.rna_b;0.603991728596365;-0.0709424626029355;0.0781630765061568;0.102576454138796;0.0505622937426054;COPG1;rna_b;COPG1
SGMS1.rna_b;-0.552142977295307;0.267628439993605;0.349014261841997;0.272063299537599;0.0378049500811676;SGMS1;rna_b;SGMS1
EIF2D.rna_b;0.0303220523831748;-0.157481941012073;0.0883072105147698;-0.15331023167948;0.0137458473496805;EIF2D;rna_b;EIF2D
SUGP2.rna_b;-0.306083278046293;0.188604096178906;-0.128711082191731;0.0694578640992518;-0.304621612671068;SUGP2;rna_b;SUGP2
FAM124A.rna_b;0.0272401922378768;0.0531217222357558;-0.560449941106132;0.0935251039880786;0.544900629247485;FAM124A;rna_b;FAM124A
MAOB.rna_b;0.544672309687327;0.198017218557219;0.229221817418113;-0.160273622270946;0.101659981230898;MAOB;rna_b;MAOB
TMEM59L.rna_b;0.676545618161841;0.117332797769525;-0.109447985128954;-0.117187885403162;0.296409007398383;TMEM59L;rna_b;TMEM59L
MEGF9.rna_b;-0.589617428050922;0.3233453374597;0.164835772910553;0.158324658800565;0.153577420327511;MEGF9;rna_b;MEGF9
CDK5RAP2.rna_b;-0.11082829486903;0.182251302023992;0.349532753202639;-0.012142466138367;-0.0458307447590517;CDK5RAP2;rna_b;CDK5RAP2
ACVR2A.rna_b;-0.687920547845036;-0.0971061215324408;-0.0445615406777863;0.286937827409436;0.028048436550528;ACVR2A;rna_b;ACVR2A
YME1L1.rna_b;-0.23702455610525;-0.502779120957128;0.0182373671760972;-0.395435569708718;-0.243962881881359;YME1L1;rna_b;YME1L1
PTCH1.rna_b;-0.713385188112078;0.256132103436827;0.349580429929915;0.194834516218934;0.10294447098196;PTCH1;rna_b;PTCH1
CNKSR2.rna_b;0.339803764659661;0.372384253604851;-0.0458521461325109;-0.280576436708718;0.383353822793271;CNKSR2;rna_b;CNKSR2
KITLG.rna_b;-0.835788337137658;0.24570595280507;-0.0469287772389696;-0.0809225416492573;-0.168463979253697;KITLG;rna_b;KITLG
SPATA6.rna_b;-0.478232659781405;-0.181738006632872;0.311300021962249;0.299690195903018;-0.127508526184771;SPATA6;rna_b;SPATA6
COX5A.rna_b;0.697867512171781;-0.395085303547278;0.135803325093574;0.00596862059497539;-0.112037829635552;COX5A;rna_b;COX5A
TRIP12.rna_b;-0.913460723748825;0.113613247729307;-0.0955962410403226;-0.119159607829832;-0.176448754277427;TRIP12;rna_b;TRIP12
SPHKAP.rna_b;-0.103686053218344;0.0889798317157271;-0.318283021981562;-0.0959743378171093;-0.402127432125226;SPHKAP;rna_b;SPHKAP
NPAS2.rna_b;0.0122218279753407;-0.464422192168764;-0.414123630165185;-0.0108700392529081;0.195211358962219;NPAS2;rna_b;NPAS2
SEMA7A.rna_b;-0.124765019370703;0.539169291681495;-0.0952054477622166;-0.20936728773961;-0.0197114006723088;SEMA7A;rna_b;SEMA7A
SPEG.rna_b;-0.594504386194612;0.0294709882114629;0.356272745878073;0.156292221126472;-0.0774653954345823;SPEG;rna_b;SPEG
ZDHHC4.rna_b;0.121323132922702;-0.121521183455164;0.205600502828143;-0.111076535064347;-0.220132300752718;ZDHHC4;rna_b;ZDHHC4
RUNX1T1.rna_b;-0.757351030607297;0.160254086484905;-0.0196694853997551;0.253475708536204;-0.0283641628972581;RUNX1T1;rna_b;RUNX1T1
SCN1B.rna_b;0.673962178667624;0.0308325890712793;-0.0304764178041446;-0.0297485060343944;0.0593157815951804;SCN1B;rna_b;SCN1B
CREB3.rna_b;0.653071375084952;-0.197707552513125;0.126014246964645;0.253217295308532;-0.180245405416459;CREB3;rna_b;CREB3
DEGS1.rna_b;0.203548914560835;0.306394910269111;0.124839154274286;-0.15932144077991;0.351168439038493;DEGS1;rna_b;DEGS1
NMD3.rna_b;0.397095176026996;-0.15622827384948;-0.14464707215723;0.347760118769541;-0.154372650014497;NMD3;rna_b;NMD3
SYNE4.rna_b;0.536926913585174;-0.048532061888769;-0.108299389725086;-0.0502034064349471;0.00589916110953029;SYNE4;rna_b;SYNE4
SSBP3.rna_b;0.259516537645079;0.0828992098021169;0.124701284853036;-0.083960676826077;0.49088548039176;SSBP3;rna_b;SSBP3
ZMYM5.rna_b;-0.486884807292787;-0.198133823877742;-0.417100369252165;-0.0669070405083022;-0.189813062476442;ZMYM5;rna_b;ZMYM5
MMP15.rna_b;0.132139211843836;0.171121923092705;0.723667932113574;0.279953222210362;0.127241320313642;MMP15;rna_b;MMP15
RGS3.rna_b;0.230168498954362;-0.398944773181771;0.0635387829494676;-0.212251736923524;0.209895784967555;RGS3;rna_b;RGS3
TESK1.rna_b;0.327316939639842;-0.0305656383004932;0.488020762993643;0.100538969322712;0.0437899406146316;TESK1;rna_b;TESK1
CCDC110.rna_b;-0.174286095966852;-0.0243963603102956;0.341500978353823;-0.123470848797946;0.2075543124296;CCDC110;rna_b;CCDC110
ACTA1.rna_b;0.145752325026643;-0.73670217073173;-0.00702972700602241;0.124330869050031;-0.0927521130216389;ACTA1;rna_b;ACTA1
DPY19L3.rna_b;-0.684269869525492;0.325378260461905;-0.274006566366061;-0.104346987703785;0.0250873610286604;DPY19L3;rna_b;DPY19L3
MTSS2.rna_b;-0.0588946038247837;0.128347092485523;0.762631219021923;0.313037971642971;0.212036125816338;MTSS2;rna_b;MTSS2
ETV5.rna_b;-0.011918387443713;0.27320372823387;-0.442761802312928;0.240496698355476;0.145488248891976;ETV5;rna_b;ETV5
BCS1L.rna_b;0.58871916889766;-0.54788857065979;0.220434699843433;-0.0316696666215453;-0.05404549682673;BCS1L;rna_b;BCS1L
CATSPERG.rna_b;-0.161700640626032;-0.556843145575749;-0.0595952151605776;-0.0152962970352986;-0.384641503491834;CATSPERG;rna_b;CATSPERG
C6orf136.rna_b;0.66240312090923;-0.483149006189774;0.240312436330911;0.130456098992817;-0.222861965530323;C6orf136;rna_b;C6orf136
HDAC6.rna_b;0.162631517688644;0.40071036938876;0.444136174928262;0.157631454193402;0.0654769492705934;HDAC6;rna_b;HDAC6
GNAI1.rna_b;-0.256171459716937;0.240897377449229;-0.0371746277274392;-0.2824037539161;-0.11703257590263;GNAI1;rna_b;GNAI1
WDFY2.rna_b;-0.737643727702767;-0.0944647798543932;0.108814960563573;0.132330425803317;-0.231344942652762;WDFY2;rna_b;WDFY2
GPC6.rna_b;-0.188387699075435;0.641206754288745;-0.17557921301906;0.195256169758166;0.0410892251692921;GPC6;rna_b;GPC6
EIF3E.rna_b;0.766839710541739;-0.198680097961246;-0.197049468516236;-0.0687310119243185;0.153450989057769;EIF3E;rna_b;EIF3E
DGKH.rna_b;-0.767205974453374;0.332007870454711;-0.231097650809196;-0.132186652601279;-0.262066864070354;DGKH;rna_b;DGKH
BOK.rna_b;0.473141801072108;0.272382810205789;-0.269686162460838;0.0934782723765187;0.516648473598831;BOK;rna_b;BOK
FNDC1.rna_b;-0.359980534446619;0.100738614032874;-0.0991791544395634;-0.206523420883497;0.340923427852421;FNDC1;rna_b;FNDC1
BCHE.rna_b;-0.517167217573856;0.386592617129422;0.371545980013587;0.167837926100379;-0.0645809678262534;BCHE;rna_b;BCHE
AP2M1.rna_b;0.831974305864135;-0.251933496661279;0.23550559764091;0.175269122242243;0.0557615814946869;AP2M1;rna_b;AP2M1
ZNF423.rna_b;0.027948648727412;0.365716396832888;0.151380560968351;-0.0266866756856681;0.321597080228349;ZNF423;rna_b;ZNF423
GTF2F1.rna_b;0.860532544674569;-0.276628074488441;0.137149109258011;-0.034258301614711;0.0138030801525909;GTF2F1;rna_b;GTF2F1
SERTAD1.rna_b;0.588386105569885;0.143992497376374;0.302744140580654;-0.117525000761021;0.221965768885294;SERTAD1;rna_b;SERTAD1
THAP4.rna_b;0.433467855605349;-0.195462510658932;0.283139401069868;0.178653210006597;-0.23102778742511;THAP4;rna_b;THAP4
STAU2.rna_b;-0.10248130248459;-0.168907781021995;0.372542649281457;0.132437330022533;-0.385264969731327;STAU2;rna_b;STAU2
IDH3B.rna_b;0.623579921513444;-0.444045722590702;-0.101972155474115;-0.0924828902027486;0.0582340018250274;IDH3B;rna_b;IDH3B
SLC35A2.rna_b;0.280960590952234;0.089376309066154;0.0272750315009395;-0.29718931985519;-0.0431068769313122;SLC35A2;rna_b;SLC35A2
CYB5B.rna_b;-0.755342498141328;-0.433727406753949;-0.108350080929697;0.122059263080579;0.0547185207581231;CYB5B;rna_b;CYB5B
RYBP.rna_b;-0.738991568481401;0.360674938591506;0.138200244303123;-0.204509795141368;0.148159016601799;RYBP;rna_b;RYBP
CDC37L1.rna_b;-0.186895350419947;-0.30614444666495;-0.235396671263419;-0.00824969890961262;-0.0345882607906378;CDC37L1;rna_b;CDC37L1
APBA1.rna_b;-0.431074596812554;0.448924127265731;-0.310292323905915;0.0615245565178108;-0.0193423606720583;APBA1;rna_b;APBA1
DLST.rna_b;0.246043771090342;-0.393746222582301;0.316190659890871;-0.185827327331501;0.0624023011894506;DLST;rna_b;DLST
SPAG16.rna_b;-0.305801980281496;-0.302972330426786;-0.0531169336374696;-0.20095866144062;-0.136025704013284;SPAG16;rna_b;SPAG16
FARS2.rna_b;0.299060540372041;-0.320783132128449;0.41837303667888;0.160168894541232;-0.0190435592634048;FARS2;rna_b;FARS2
ABCD4.rna_b;-0.159239924513213;-0.509127612830196;-0.0666464983798811;0.223704446960083;-0.114629429094896;ABCD4;rna_b;ABCD4
HIRA.rna_b;0.643836063222366;-0.209089802843803;0.0577082565310927;0.210023191130722;0.0754328041827072;HIRA;rna_b;HIRA
RBM10.rna_b;0.573442143430846;0.0523991909229836;-0.241305450581839;0.0816499404236922;0.0983321746847129;RBM10;rna_b;RBM10
PLCG2.rna_b;0.00445127665228675;0.260894635513586;0.24810366504891;0.350830756300963;0.480286129130869;PLCG2;rna_b;PLCG2
THSD7A.rna_b;-0.557737692266433;0.304126538466831;-0.0510093242270974;0.0730396677344853;-0.211515852911641;THSD7A;rna_b;THSD7A
ZMYM3.rna_b;-0.260307997875055;0.0292242333058131;0.466755085514353;0.371170980969053;0.144000812779426;ZMYM3;rna_b;ZMYM3
MRE11.rna_b;-0.601049318227246;0.0211991944115512;-0.112841365124469;-0.065393434559872;0.15203323842921;MRE11;rna_b;MRE11
DENND4C.rna_b;-0.924573954831028;-0.030385774344016;0.0577298469456624;-0.0491848540834601;-0.131096915548202;DENND4C;rna_b;DENND4C
LRRC8E.rna_b;0.304014849534576;-0.580433757673525;-0.196880790889418;-0.0769005150172507;0.110251848670121;LRRC8E;rna_b;LRRC8E
ARL3.rna_b;0.591552980203301;-0.476503584252878;0.0762982777230057;-0.0158767647418891;-0.00810871458482088;ARL3;rna_b;ARL3
ZNF341.rna_b;-0.458792177047069;0.25906067427015;0.114062098515822;0.135698737366182;-0.428837157610505;ZNF341;rna_b;ZNF341
PMM1.rna_b;0.709125457093908;-0.346064741079828;-0.172367960827483;0.0186149783895583;-0.0296045384586474;PMM1;rna_b;PMM1
SLC2A1.rna_b;-0.0425990193809892;-0.292684965439713;-0.0507346962698552;-0.214306786732745;0.294702997360743;SLC2A1;rna_b;SLC2A1
GLRX3.rna_b;0.340735071800838;-0.59931465864425;0.0452642938359214;0.10725869657784;-0.145252541571112;GLRX3;rna_b;GLRX3
BACH1.rna_b;-0.899329609435208;0.210388159215108;-0.00769228445087094;-0.0252305244357089;-0.0481645779309989;BACH1;rna_b;BACH1
RICTOR.rna_b;-0.949195384404738;0.185573669137824;-0.0761247290797914;0.0421353521301217;-0.0855156484212148;RICTOR;rna_b;RICTOR
EIF4ENIF1.rna_b;0.110554311604259;0.181436483401665;-0.056010606008714;-0.0683997253049417;-0.520075589335859;EIF4ENIF1;rna_b;EIF4ENIF1
ECI2.rna_b;0.55007627427203;-0.433258277840965;-0.218125117665256;0.17942815002785;0.133224782953136;ECI2;rna_b;ECI2
SART3.rna_b;-0.260081619170947;0.288747609651312;-0.357469584516438;-0.0232782244531353;0.193584377026585;SART3;rna_b;SART3
SRP14.rna_b;0.846158584591854;-0.297621522443577;-0.130766466007841;0.0755614542722496;-0.0397153111094346;SRP14;rna_b;SRP14
TUSC3.rna_b;0.501221260606684;-0.0580144741310899;-0.399369972053984;0.0606984470569988;0.0760158587897872;TUSC3;rna_b;TUSC3
FAM131A.rna_b;0.0148694043689158;0.132181160860179;-0.00580650662821607;0.255493603640744;0.401122116830381;FAM131A;rna_b;FAM131A
RNF181.rna_b;0.676903018167989;-0.424358113431651;-0.0568325933586348;0.34094114562008;0.11294547682954;RNF181;rna_b;RNF181
C20H6orf62.rna_b;0.146635528851478;0.308908185041268;-0.34907601284315;-0.269468066101772;-0.138828691001745;C20H6orf62;rna_b;C20H6orf62
KDM1B.rna_b;-0.140651109638165;-0.204349439412053;0.0278420912690631;2,88E+08;-0.369683191811251;KDM1B;rna_b;KDM1B
EIF2B2.rna_b;0.676708607219905;-0.203155016967585;-0.159593304701264;0.161698326695603;0.163101925532537;EIF2B2;rna_b;EIF2B2
CNTN5.rna_b;-0.448659465901236;0.550431856408359;0.210442853434925;0.280238631124649;0.044901606176596;CNTN5;rna_b;CNTN5
ZNF112.rna_b;-0.644075475654389;-0.0965458017328485;-0.0507690742887816;0.230837007073463;0.0254397636381688;ZNF112;rna_b;ZNF112
EDRF1.rna_b;-0.499330814076456;-0.158690396715322;-0.413828912989137;-0.033084321471621;0.151743762200318;EDRF1;rna_b;EDRF1
EIF2AK4.rna_b;-0.785341509365438;-0.0358344588379049;-0.0431507502522687;0.147017411733836;-0.170976060507102;EIF2AK4;rna_b;EIF2AK4
IKBKE.rna_b;0.0683033568098596;0.184222193691158;0.343955561782632;0.101751758384374;0.0914531187404851;IKBKE;rna_b;IKBKE
PLK2.rna_b;0.142688867202768;0.494162635738657;0.392682996752425;-0.203174257624748;-0.00665131165083463;PLK2;rna_b;PLK2
PALS1.rna_b;-0.870684039027791;0.126898342366131;0.115132717878247;0.0163072435552058;-0.243550968244275;PALS1;rna_b;PALS1
MARK4.rna_b;0.485732907638531;-0.0784527613176789;-0.170004517313671;-0.216188115308064;0.269923920608798;MARK4;rna_b;MARK4
HEATR3.rna_b;0.082950231759275;0.0683202951780553;-0.202167712312313;0.032911758535282;0.0568168081736981;HEATR3;rna_b;HEATR3
STXBP5.rna_b;-0.768349833934712;-0.148666197549793;0.101238432703474;0.108236223600353;0.142733441522508;STXBP5;rna_b;STXBP5
PIN4.rna_b;0.605168442523039;-0.132210338845048;-0.301473289657151;-0.0245853953791826;0.131785167899252;PIN4;rna_b;PIN4
PCNX4.rna_b;-0.365698575178113;0.268107618671282;0.208433340010632;0.318624165335913;-0.217948747653506;PCNX4;rna_b;PCNX4
HEXD.rna_b;0.240227155719791;-0.355989573463891;-0.0586868123878022;0.143702503621541;-0.0156106216997305;HEXD;rna_b;HEXD
RFC2.rna_b;0.730485623367022;-0.0137297833198504;0.0328039354637584;-0.0195777114714762;0.130111850261172;RFC2;rna_b;RFC2
CERS4.rna_b;0.475789250054778;-0.0641682551579096;0.543668137681287;0.241114130235366;-0.245702560089845;CERS4;rna_b;CERS4
RPS11.rna_b;0.815264748208728;-0.235433334802159;-0.281456942067238;0.12046093747789;0.18221307746964;RPS11;rna_b;RPS11
KRCC1.rna_b;0.2963381326061;-0.491035265814399;0.121727044326136;-0.0468136186536264;-0.133049633443676;KRCC1;rna_b;KRCC1
ARL1.rna_b;0.550272151487294;-0.377576367990946;-0.0384414513587197;0.296369014274798;-0.099625983639148;ARL1;rna_b;ARL1
SNU13.rna_b;0.811950075094894;-0.163113937883997;-0.102654874788133;0.0709533899483269;0.0944717514348393;SNU13;rna_b;SNU13
LYSMD4.rna_b;-0.206380374026797;-0.097307808421882;0.0566820446291162;0.362661652160416;0.158803150100349;LYSMD4;rna_b;LYSMD4
BRIX1.rna_b;0.38914521848062;-0.208691162665213;-0.499339826206779;-0.364444726860028;0.0044404874060754;BRIX1;rna_b;BRIX1
DMXL2.rna_b;-0.713487530221293;-0.222853361979231;0.134996805576892;0.0198786584457358;-0.158251579760868;DMXL2;rna_b;DMXL2
TOP1.rna_b;0.112261925341645;0.232393629797979;-0.444212959873601;-0.491634432133555;0.155685593659021;TOP1;rna_b;TOP1
ERP29.rna_b;0.730603827522636;-0.167142583352765;-0.167286353531752;0.0388251296162227;0.289905374171081;ERP29;rna_b;ERP29
ZNF250.rna_b;0.0449053575799548;0.427605528399404;-0.160541077379737;0.144002883932932;-0.0786858576778703;ZNF250;rna_b;ZNF250
CLBA1.rna_b;0.389427680369228;-0.326817506764665;-0.166863933858102;0.208028401300482;-0.206257529722788;CLBA1;rna_b;CLBA1
DCAF1.rna_b;-0.770304867582135;0.254146912840919;0.172363970505042;-0.109022190885746;-0.00554971587077972;DCAF1;rna_b;DCAF1
HPS1.rna_b;0.385940054108347;-0.00292273662429961;-0.509663114247788;-0.123184342275108;-0.088887215955853;HPS1;rna_b;HPS1
RAPGEF5.rna_b;-0.325673566317354;0.730024273103849;-0.0815819391620288;-0.0553223144299079;0.043557388356544;RAPGEF5;rna_b;RAPGEF5
SDHA.rna_b;-0.17995157706419;-0.38168842868217;0.46361752791325;-0.197692562080183;-0.29391191541389;SDHA;rna_b;SDHA
PITRM1.rna_b;-0.366018231191093;-0.241791659457522;-0.0566916762623724;-0.265432043893437;-0.0117382709657184;PITRM1;rna_b;PITRM1
ATXN7L1.rna_b;-0.463625691254145;-0.275469400001037;-0.00403665746551002;0.433862627208378;0.152042560441145;ATXN7L1;rna_b;ATXN7L1
NDUFS7.rna_b;0.658061717853653;-0.513667317504446;0.0708974774147568;-0.0193535988850541;0.0141700173304945;NDUFS7;rna_b;NDUFS7
FKBP9.rna_b;-0.126533810950323;0.400866617017587;0.375980674015174;-0.353067511026773;0.341321935552076;FKBP9;rna_b;FKBP9
ILRUN.rna_b;-0.417583076881133;-0.131993731027251;0.385112702018329;0.498177953872841;0.136363777049388;ILRUN;rna_b;ILRUN
MTMR6.rna_b;-0.722751266264033;-0.131544075752965;0.166339005045903;0.0901428288182368;-0.278795735272569;MTMR6;rna_b;MTMR6
KCTD6.rna_b;-0.0876763569620387;0.0662948118031308;-0.519185545133834;0.10175951639129;-0.0832865940422398;KCTD6;rna_b;KCTD6
GLT8D1.rna_b;0.599229865842797;-0.506888341843678;0.0256197338095444;-0.0145645556551921;-0.148133686315554;GLT8D1;rna_b;GLT8D1
MCFD2.rna_b;0.260929769727006;0.317903606800461;-0.141196594212544;0.136200167932002;-0.440242085148257;MCFD2;rna_b;MCFD2
SMIM19.rna_b;0.416911429600683;-0.216828511668173;0.406834528948739;0.177149962146912;0.0139792706556582;SMIM19;rna_b;SMIM19
DCAF6.rna_b;-0.56001071450273;-0.236658258242501;0.448252747546342;-0.0260363039850043;-0.0912601033907497;DCAF6;rna_b;DCAF6
GON7.rna_b;0.25422054405136;-0.287505419256779;0.0256468253905097;0.166525740465751;0.332199640779733;GON7;rna_b;GON7
USP16.rna_b;0.183548999891721;-0.0276406780971549;-0.107583948806389;-0.345872744852615;-0.179533168054783;USP16;rna_b;USP16
